S_NUMBER,BP_NUMBER,MODEL,E_TYPE,NAME,STATUS,DOMAIN,PROVIDER,IP,MAC_ADDRESS,MONITOR_TYPE,DETAIL1,DETAIL2,DETAIL3
11200491,BP00080NULL,PPC-5150AA,PANEL,7WK064-175AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70F-6,CF 1
1HYVZB3,BP00044NULL,D15S,DESKTOPS,WKS064-325AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-31,CF 1
1J5WZB3,BP00042NULL,3080,DESKTOPS,WKS064-322AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,A70-23,CF 1
1J6YZB3,BP00058NULL,3080,DESKTOPS,WKS064-333AR,ACTIVE,MerloTyres,PIRELLI,,,NAME,ARMADO,3L8AT-06,CF 2
23T5N31,9E+11,5400,NOTEBOOKS,,ACTIVE,MerloTyres,PIRELLI,10.131.138.28,80:32:53:2D:85:98,IP,GAYTAN FLORENCIA,,
29J09190003,BP00205NULL,ZEBRA GK420t,IMPRESORA,GK420T-CALM,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-CALM,
29J09190055,BP00191NULL,ZEBRA GK420t,IMPRESORA,GK420T-APEX07,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-APEX07,IMPRESORA
29J09190080,BP00206NULL,ZEBRA GK420t,IMPRESORA,GK420T-D70-3F,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-D70-3F,
29J09350108,P900841,ZEBRA GK420t,IMPRESORA,GK420T-SIST,BACKUP,MerloTyres,PIRELLI,,,NAME,OFICINA SISTEMAS,GK420T-SIST,IMPRESORA
29J09400415,BP00211NULL,ZEBRA GK420t,IMPRESORA,GK420T-AKRO-2F,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-AKRO-2F,
29J10310665,BP00209NULL,ZEBRA GK420t,IMPRESORA,GK420T-RECONTROL,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-RECONTROL,
29J120100485,N15,ZEBRA GK420t,IMPRESORA,GK420T,BACKUP,MerloTyres,PIRELLI,,,NAME,OFICINA SISTEMAS,GK420T-N15,IMPRESORA
29J120100497,P901582,ZEBRA GK420t,IMPRESORA,GK420T-ASTEC-2,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-ASTEC-2,
29J120300193,P901581,ZEBRA GK420t,IMPRESORA,GK420T-D70-4F,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-D70-4F,
29J143901138,P901629,ZEBRA GK420t,IMPRESORA,GK420T-TRIPLEX,ACTIVE,MerloTyres,PIRELLI,,,NAME,SEMIELABORADOS,GK420T-TRIPLEX,IMPRESORA
29J143901154,P901616,ZEBRA GK420t,IMPRESORA,GK420T-LAN01,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-LAN01,IMPRESORA
29J143901161,P901615,ZEBRA GK420t,IMPRESORA,GK420T-LAN02,ACTIVE,MerloTyres,PIRELLI,,,NAME,TALONES,GK420T-LAN02,IMPRESORA
29J143901165,P901627,ZEBRA GK420t,IMPRESORA,GK420T-D70-1F,BACKUP,MerloTyres,PIRELLI,,,NAME,CONTROL FINAL,GK420T-D70-1F,
29J143901183,P901628,ZEBRA GK420t,IMPRESORA,GK420T-SIST,BACKUP,MerloTyres,PIRELLI,,,NAME,OFICINA SISTEMAS,GK420T-SIST,IMPRESORA
