LOCATION_ID;SCENARIO;AREA;LOCAL;LOCAL_DETAIL;NICKNAME;IS_MONITORED;DOCUMENTATION_PATH
1147;OFFICE;DIR. ADMINISTRATIVA;IT;ESCRITORIO 1;-;FALSO;
1148;MERLO;RR.HH;-;-;-;FALSO;
1149;MERLO;FINANZAS;-;-;-;FALSO;
1150;MERLO;DIRECCION ;GENERAL;-;-;FALSO;
1151;MERLO;UPM;-;-;-;FALSO;-
1152;MERLO;UPN;-;-;-;FALSO;-
1153;OFFICE;DIR. ADMINISTRATIVA;IT;ESCRITORIO 2;;FALSO;
1158;FABRICA;ARMADO;A70-01;CF 1;A70-01;VERDADERO;
1159;FABRICA;ARMADO;A70-FLEXI 2;CF2;A70-F2;VERDADERO;
1160;FABRICA;ARMADO;A70-FLEXI 1;CF1;A70-F1;VERDADERO;
1161;FABRICA;ARMADO;A70-FLEXI 3;CF1;A70-F3;VERDADERO;
1162;FABRICA;ARMADO;A70-FLEXI 4;CF1;A70-F4;VERDADERO;
1163;FABRICA;ARMADO;A70-FLEXI 5;CF1;A70-F5;VERDADERO;
1164;FABRICA;SEMIELABORADOS;TRIMEZCLA;TRIMEZCLA;CAL TRI;VERDADERO;
1165;FABRICA;TALONES;APEX 11;APEX 11;TAL APE11;VERDADERO;
1166;FABRICA;SEMIELABORADOS;KAMPF 2;KAMPF 2;KAMPF 2;VERDADERO;
1167;FABRICA;TALONES;TRAFILA APEX 6;TRAFILA APEX 6;TAL TAP6;VERDADERO;
1168;FABRICA;TALONES;APEX 07;APEX 07;TAL APE7;VERDADERO;
1169;FABRICA;MOTO;CM202;CM202;CM202;VERDADERO;
1170;FABRICA;ARMADO;3L8C04;CF 2;3L8 C04;VERDADERO;
1171;FABRICA;ARMADO;3L8C01;CF 2;3L8 C01;VERDADERO;
1172;FABRICA;ARMADO;3L8C11;CF 2;3L8 C11;VERDADERO;
1173;FABRICA;ARMADO;3L8C02;CF 2;3L8 C02;VERDADERO;
1174;FABRICA;ARMADO;AF690-1;CF 1;AF69 01;VERDADERO;
1175;FABRICA;ARMADO;TR20-FLEXI 5;CF 2;TR20-F5;VERDADERO;
1176;FABRICA;ARMADO;TR20-FLEXI 3;CF 2;TR20-F3;VERDADERO;
1177;FABRICA;ARMADO;3L8AT-05;CF 2;3L8-AT05;VERDADERO;
1178;FABRICA;ARMADO;3L8-AT09;CF 2;3L8-AT09;VERDADERO;
1179;FABRICA;ARMADO;A70-14;CF 1;A70-14;VERDADERO;
1180;FABRICA;SEMIELABORADOS;TRIPLEX;TRIPLEX;TRIPLEX;VERDADERO;
1181;FABRICA;SEMIELABORADOS;RECUPERADO;RECUPERADO;RECUP VZ;VERDADERO;
1182;FABRICA;SEMIELABORADOS;TPCS;TPCS;TPCS;VERDADERO;
1183;FABRICA;SEMIELABORADOS;TTM 4;TTM 4;TTM 4;VERDADERO;
1184;FABRICA;SEMIELABORADOS;TTM 3;TTM 3;TTM 3;VERDADERO;
1185;FABRICA;ARMADO;3L8AT-07;CF 2;3L8-AT07;VERDADERO;
1186;FABRICA;SEMIELABORADOS;TRAFILA 200+120;TRAFILA 200+120;200+120;VERDADERO;
1187;FABRICA;TALONES;CORTADORA TALONES 2;TALONES  2;TAL TAL 2;VERDADERO;
1188;FABRICA;ARMADO;A70-11;CF 1;A70-11;VERDADERO;
1189;FABRICA;ARMADO;A70-26;CF 1;A70-26;VERDADERO;
1190;FABRICA;ARMADO;A70-24;CF 1;A70-24;VERDADERO;
1191;FABRICA;SEMIELABORADOS;TRAFILA 200+120 E;TRAFILA 200+120 E;200+ 120E;VERDADERO;
1192;FABRICA;ARMADO;3L8C03;CF 2;3L8 C03;VERDADERO;
1193;FABRICA;TALONES;BIMZ;BIMEZCLA;TAL BIMZ;VERDADERO;
1194;FABRICA;ARMADO;A70-06;CF 1;A70-06;VERDADERO;
1195;FABRICA;ARMADO;3L8C05;CF 2;3L8 C05;VERDADERO;
1196;FABRICA;ARMADO;A70-33;CF1;A70-33;VERDADERO;
1197;FABRICA;ARMADO;3L8C10;CF 2;3L8 C10;VERDADERO;
1198;FABRICA;SEMIELABORADOS;KAMPF 1;KAMPF 1;KAMPF 1;VERDADERO;
1199;FABRICA;ARMADO;TR10-1;CF2;TR10-1;VERDADERO;
1200;FABRICA;SEMIELABORADOS;BERSTOFF;BERSTOFF;BERSTOFF;VERDADERO;
1201;FABRICA;SEMIELABORADOS;TRAFILA 6+6 E;TRAFILA 6+6 E;6+6E;VERDADERO;
1202;FABRICA;MOTO;CM203;CM203;CM203;VERDADERO;
1203;FABRICA;MOTO;CM204;CM204;CM204;VERDADERO;
1204;FABRICA;MOTO;CABINA PINTADO MOTO;CABINA PINTADO MOTO;C.P MOTO;VERDADERO;
1205;FABRICA;MOTO;CM201;CM201;CM201;VERDADERO;
1206;FABRICA;VULCANIZADO;GALERIA 1;VZ;GAL 1;VERDADERO;
1207;FABRICA;VULCANIZADO;GALERIA 2;VZ;GAL 2;VERDADERO;
1208;FABRICA;VULCANIZADO;GALERIA 3;VZ;GAL 3;VERDADERO;
1209;FABRICA;VULCANIZADO;GALERIA 4;VZ;GAL 4;VERDADERO;
1210;FABRICA;VULCANIZADO;GALERIA 5;VZ;GAL 5;VERDADERO;
1211;FABRICA;TALONES;APEX 10;APEX 10;TAL APE10;VERDADERO;
1212;FABRICA;TALONES;APEX 08;APEX 08;TAL APE8;VERDADERO;
1213;FABRICA;TALONES;APEX 14;APEX 14;TAL APE14;VERDADERO;
1214;FABRICA;ARMADO;3L8AT-03;CF 2;3L8-AT03;VERDADERO;
1215;FABRICA;ARMADO;3L8AT-06;CF 2;3L8-AT06;VERDADERO;
1216;FABRICA;BANBURY;BANBURY 2;PLC;BY2 PLC;VERDADERO;
1217;FABRICA;COMPUESTOS;BALANZA AUTOMATICA;AUTOBAL;COM AUT;VERDADERO;
1218;FABRICA;COMPUESTOS;BALANZA 2;BALANZA 2;COMP 2;VERDADERO;
1219;FABRICA;VULCANIZADO;GUARDIA 2;VZ;GUA VUL2;VERDADERO;
1220;FABRICA;ARMADO;3L8AT-01;CF 2;3L8-AT01;VERDADERO;
1221;FABRICA;ARMADO;3L8AT-02;CF 2;3L8-AT02;VERDADERO;
1222;FABRICA;ARMADO;3L8AT-04;CF 2;3L8-AT04;VERDADERO;
1223;FABRICA;ARMADO;3L8AT-10;CF 2;3L8-AT10;VERDADERO;
1225;FABRICA;ARMADO;3L8AT-11;CF 2;3L8-AT11;VERDADERO;
1226;FABRICA;ARMADO;A70-31;CF 1;A70-31;VERDADERO;
1227;FABRICA;ARMADO;A70-28;CF 1;A70-28;VERDADERO;
1228;FABRICA;ARMADO;A70-29;CF 1;A70-29;VERDADERO;
1229;FABRICA;ARMADO;3L8C08;CF 2;3L8 C08;VERDADERO;
1230;FABRICA;ARMADO;AF690-2;CF 1;AF69 02;VERDADERO;
1231;FABRICA;ARMADO;A70-12;CF 1;A70-12;VERDADERO;
1232;FABRICA;ARMADO;AF690-4;CF 2;AF69 04;VERDADERO;
1233;FABRICA;ARMADO;A70-23;CF 1;A70-23;VERDADERO;
1234;FABRICA;ARMADO;A70-02;CF 1;A70-02;VERDADERO;
1235;FABRICA;ARMADO;A70-09;CF 1;A70-09;VERDADERO;
1236;FABRICA;ARMADO;A70-13;CF 1;A70-13;VERDADERO;
1237;FABRICA;ARMADO;A70-16;CF 1;A70-16;VERDADERO;
1238;FABRICA;ARMADO;A70-27;CF 1;A70-27;VERDADERO;
1239;FABRICA;ARMADO;A70-19;CF 1;A70-19;VERDADERO;
1240;FABRICA;ARMADO;A70-25;CF 1;A70-25;VERDADERO;
1241;FABRICA;ARMADO;TR20-1;CF 1;TR20-1;VERDADERO;
1242;FABRICA;ARMADO;TR20-3;CF 2;TR20-3;VERDADERO;
